post_id,account_id,type,hashtags
3817769136760695725,50793111752,videos,
3799545321928933798,50793111752,sidecar,"haldiceremony,photo,positivevibes,postviral,yellowflowers"
3862148131475727385,40734940167,images,"AthleisureIndia,AthleisureWear,CasualWear,ComfortMeetsStyle,EverydayStyle"
3860690053891059636,40734940167,images,"AthleisureWear,CasualWear,Clowear,ClowearLaunch,EverydayStyle"
3859268616445312585,40734940167,images,"AthleisureWear,CasualWear,ComfortMeetsStyle,EverydayStyle,MinimalStyle"
3857101079570258694,40734940167,images,"AthleisureWear,CasualWear,ComfortMeetsStyle,EverydayStyle,MinimalStyle"
3857100535535106180,40734940167,images,"Streetcasual,athleisure,comingsoon,modern,staytuned"
3857100076980240202,40734940167,images,"Streetcasual,athleisure,comingsoon,modern,staytuned"
3862152410404479695,48560304048,sidecar,"desifashion,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp"
3858500822086254740,48560304048,sidecar,
3858498909986950121,48560304048,sidecar,
3857028083396885945,48560304048,sidecar,
3854955161412262920,48560304048,videos,"cute,yyyyyyyppppppp"
3588711594781510559,48560304048,sidecar,
3588692543237575564,48560304048,sidecar,
3456741367744212047,48560304048,videos,"beautypageant,btad,btr,fashionshow,ghy,herockrabha,junaki,junakiassam,junakientertainment,junakinortheast,model,udalguri"
3417884063431267035,48560304048,images,"beautypageant,btad,btr,fashionshow,ghy,herockrabha,junaki,junakiassam,junakientertainment,junakinortheast,model,udalguri"
3412000927371559425,48560304048,images,"junakiassam,junakinortheast"
3648322733566172747,63819105106,images,
3648322585809135912,63819105106,images,
3648322455307681400,63819105106,images,
3862153871749818142,63819105106,images,"SalwarKameez,TraditionalWear,ethnicwear"
3862153711770683565,63819105106,images,"SalwarKameez,TraditionalWear,ethnicwear"
3862153507684282629,63819105106,images,"SalwarKameez,TraditionalWear,ethnicwear"
3862149545191050327,63819105106,images,"DesiCouture,DesiGlam,FashionReel,LehengaChic,RoyalLook"
3862149304865839759,63819105106,images,"DesiCouture,DesiGlam,FashionReel,LehengaChic,RoyalLook"
3862149076670525531,63819105106,images,"DesiCouture,DesiGlam,FashionReel,LehengaChic,RoyalLook"
3862148562666971829,63819105106,images,"DesiFashion,DesiStyle,EthnicWear,SalwarKameez,TraditionalWear"
3862148368453891331,63819105106,images,"DesiFashion,DesiStyle,EthnicWear,SalwarKameez,TraditionalWear"
3862148123867250272,63819105106,images,"DesiFashion,DesiStyle,EthnicWear,SalwarKameez,TraditionalWear"
3711520483465542784,47364064478,sidecar,"ExploreMore,InstaGlow,ReelsDaily,elegance,instagood,instalike,newpost,style,trending,viral"
