video_id,collected_at,views,likes,comment_count
tdloOEOIR3s,2026-03-16 12:56:49,9227,464,14
IOavIhxGVbo,2026-03-16 12:56:49,15012,627,27
uIVhwscXBY4,2026-03-16 12:56:49,16996,897,8
SnvnJNcXv0I,2026-03-16 12:56:49,20166,691,15
LSKQjI6jm9A,2026-03-16 12:56:49,29050,883,41
XszChwLI-fM,2026-03-16 12:56:49,1781,126,15
ZEL9_S1MDxM,2026-03-16 12:56:49,10945,377,4
7XeddklS8QY,2026-03-16 12:56:49,11365,566,14
VTlUnfBHE_0,2026-03-16 12:56:49,23797,1556,61
rx29l6hgq4I,2026-03-16 12:56:49,22266,1270,52
o6RFVN1Qi0M,2026-03-16 12:56:49,67519,1771,26
wfz5mJNGyQE,2026-03-16 12:56:49,16022,781,18
gVz3nIJIc90,2026-03-16 12:56:49,23509,1246,16
efdaz8EjfUI,2026-03-16 12:56:49,44713,2206,12
FAf3Txyflzw,2026-03-16 12:56:49,12363,388,4
hE4chDGMv1s,2026-03-16 12:56:49,60393,2745,71
efyGTxHZY50,2026-03-16 12:56:49,61239,1922,24
PK-zSPVB_f8,2026-03-16 12:56:49,19833,729,12
3jz2TsB73TU,2026-03-16 12:56:49,697607,11968,56
VGuSJFXc4iw,2026-03-16 12:56:49,18889,923,23
Dp_IOJ-flSw,2026-03-16 12:56:49,24175,910,16
B-Y47bHeYOY,2026-03-16 12:56:49,42476,1203,28
dg4yf4A2Phs,2026-03-16 12:56:49,4288,276,23
nvOyhTs4GRc,2026-03-16 12:56:49,226705,5543,57
ggeu5vqCEXI,2026-03-16 12:56:49,395643,10119,139
mQo-yQeIeJU,2026-03-16 12:56:49,359493,8018,41
6un_WawU_iM,2026-03-16 12:56:49,55118,1238,7
HWOQojFh1RQ,2026-03-16 12:56:49,132696,4186,32
J1M5Hw09rqk,2026-03-16 12:56:49,6141,295,20
tqJvviXlOjk,2026-03-16 12:56:49,51566,1182,31
LIEbiQ5GonM,2026-03-16 12:56:49,65240,2749,448
979_Zcy6dsI,2026-03-16 12:56:49,436836,7342,82
43AFQudkSPk,2026-03-16 12:56:49,320924,5560,82
GNOD9a46vqs,2026-03-16 12:56:49,618058,11687,75
FJCEr5ysyV4,2026-03-16 12:56:49,312976,7480,42
7nHp8BeHYbE,2026-03-16 12:56:49,143619,2872,30
R94hCQb3LXA,2026-03-16 12:56:49,524281,7253,86
q8fnaphizhU,2026-03-16 12:56:49,339033,4707,44
4CSqsQTFLyQ,2026-03-16 12:56:49,289044,4883,81
vKhGzr_REG4,2026-03-16 12:56:49,411542,9792,1236
pqLACaZeiS0,2026-03-16 12:56:49,189383,3383,68
1tVjvDMkyxE,2026-03-16 12:56:49,4360472,58723,849
4bxzopIjN4k,2026-03-16 12:56:49,1334556,11633,190
UipV0rkC8zg,2026-03-16 12:56:49,214372,3230,77
5dC-oUlNqck,2026-03-16 12:56:49,1882583,30252,185
oYJb3Kq5BY0,2026-03-16 12:56:49,401207,7104,80
O6YF5pLqa5Q,2026-03-16 12:56:49,541163,12120,1335
61auIYxZmL4,2026-03-16 12:56:49,2816562,33455,241
E1ar6xbZYfw,2026-03-16 12:56:49,593038,7983,31
3EuJunWec-A,2026-03-16 12:56:49,433460,4696,43
4m8zGPzd3Fw,2026-03-16 12:56:49,603108,10588,103
